ItemID;SKU;ProductName;Category;Supplier;Unit;PurchasePrice;SalePrice;StockQuantity;ReorderLevel;ReorderQuantity;Location;DateAdded;LastRestockDate;ExpirationDate
ITEM0001;MÓV-00001;Smart Caneta;Móveis;DistribuidoraBeta;cx;29.39;33.8;44;78;146;A9-P36;2024-08-08;2025-02-01;
ITEM0002;INF-00002;Eco Camisa;Informática;Delta Supply;kg;97.48;113.08;241;83;127;A5-P21;2023-07-20;2024-05-22;
ITEM0003;CAL-00003;Ultra Copo;Calçados;MegaFornecimentos;cx;23.03;44.22;336;20;90;A1-P46;2021-03-12;2023-10-06;
ITEM0004;HIG-00004;Slim Parafuso;Higiene Pessoal;GrupoAlfa;un;208.67;386.04;146;14;27;A2-P17;2020-04-17;2023-07-05;2020-09-30
ITEM0005;INF-00005;Eco Lâmpada;Informática;NorteImport;un;181.53;335.83;100;16;154;A9-P37;2025-05-21;2025-10-17;
ITEM0006;ROU-00006;Super Fone;Roupas;NovaLog;kg;329.51;464.61;202;18;48;A3-P10;2023-07-17;2024-10-26;
ITEM0007;MAT-00007;Max Parafuso;Material de Escritório;AurumTrade;cx;482.43;911.79;339;13;187;A6-P21;2024-04-30;2025-03-12;
ITEM0008;ALI-00008;Eco Papel;Alimentos;FornecExpress;kg;368.05;610.96;44;39;18;A8-P39;2024-02-24;2024-10-22;2026-11-10
ITEM0009;ILU-00009;Advance Papel;Iluminação;DistribuidoraBeta;un;311.05;535.01;342;21;88;A9-P31;2021-02-19;2021-08-15;
ITEM0010;FER-00010;Pro Arroz;Ferramentas;Delta Supply;lt;684.81;1438.1;455;12;35;A1-P25;2025-06-02;2025-10-05;
ITEM0011;ELE-00011;Ultra Caneta;Eletrônicos;DistribuidoraBeta;kg;297.06;606.0;56;40;60;A3-P18;2020-03-16;2023-03-29;
ITEM0012;HIG-00012;Eco Martelo;Higiene Pessoal;EconDistrib;cx;615.19;1193.47;7;98;83;A2-P25;2020-10-22;2021-10-10;2021-08-02
ITEM0013;MAT-00013;Super Analgésico;Material de Escritório;AurumTrade;cx;56.93;96.78;7;75;162;A5-P24;2020-11-24;2021-05-10;
ITEM0014;MÓV-00014;Super Lâmpada;Móveis;DistribuidoraBeta;un;361.08;440.52;167;49;155;A1-P17;2024-06-15;2025-08-13;
ITEM0015;ACE-00015;Pro Copo;Acessórios;EconDistrib;un;420.9;921.77;453;25;161;A3-P30;2024-07-11;2025-01-03;
ITEM0016;LIM-00016;Advance Cadeira;Limpeza;NorteImport;cx;719.5;906.57;248;26;118;A1-P30;2024-06-26;2025-09-07;
ITEM0017;MAT-00017;Eco Martelo;Material de Escritório;GrupoAlfa;un;725.7;1560.26;200;92;66;A8-P9;2025-04-14;2025-06-09;
ITEM0018;ALI-00018;Compact Caneta;Alimentos;FornecExpress;un;309.31;439.22;497;52;76;A4-P7;2021-09-26;2022-10-18;2022-12-01
ITEM0019;CAL-00019;Plus SSD;Calçados;NovaLog;lt;423.25;617.94;384;44;46;A3-P28;2021-03-03;2023-04-07;
ITEM0020;MED-00020;Compact Papel;Medicamentos;ComercialSul;cx;184.44;343.06;180;52;83;A2-P33;2022-09-01;2024-09-18;2025-08-13
ITEM0021;ILU-00021;Pro Parafuso;Iluminação;EconDistrib;kg;718.59;1142.56;133;41;53;A9-P42;2023-07-07;2023-09-21;
